pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
115  82dd  10 fb      BPL $82da   A:00 X:00 Y:00 P:26 SP:00 P_CTRL:0x0  P_MASK:0x0  P_STATUS:0x0  OAM_ADDR:0x0  P_SCROLL:0x0  P_ADDR:0x0
116  82da  2c 02 20   BIT $2002   A:00 X:00 Y:00 P:26 SP:00 P_CTRL:0x0  P_MASK:0x0  P_STATUS:0x0  OAM_ADDR:0x0  P_SCROLL:0x0  P_ADDR:0x0
117  82dd  10 fb      BPL $82da   A:00 X:00 Y:00 P:26 SP:00 P_CTRL:0x0  P_MASK:0x0  P_STATUS:0x0  OAM_ADDR:0x0  P_SCROLL:0x0  P_ADDR:0x0
118  82da  2c 02 20   BIT $2002   A:00 X:00 Y:00 P:26 SP:00 P_CTRL:0x0  P_MASK:0x0  P_STATUS:0x0  OAM_ADDR:0x0  P_SCROLL:0x0  P_ADDR:0x0
119  82dd  10 fb      BPL $82da   A:00 X:00 Y:00 P:26 SP:00 P_CTRL:0x0  P_MASK:0x0  P_STATUS:0x0  OAM_ADDR:0x0  P_SCROLL:0x0  P_ADDR:0x0
120  82da  2c 02 20   BIT $2002   A:00 X:00 Y:00 P:26 SP:00 P_CTRL:0x0  P_MASK:0x0  P_STATUS:0x0  OAM_ADDR:0x0  P_SCROLL:0x0  P_ADDR:0x0
121  82dd  10 fb      BPL $82da   A:00 X:00 Y:00 P:26 SP:00 P_CTRL:0x0  P_MASK:0x0  P_STATUS:0x0  OAM_ADDR:0x0  P_SCROLL:0x0  P_ADDR:0x0
122  82da  2c 02 20   BIT $2002   A:00 X:00 Y:00 P:26 SP:00 P_CTRL:0x0  P_MASK:0x0  P_STATUS:0x0  OAM_ADDR:0x0  P_SCROLL:0x0  P_ADDR:0x0
123  82dd  10 fb      BPL $82da   A:00 X:00 Y:00 P:26 SP:00 P_CTRL:0x0  P_MASK:0x0  P_STATUS:0x0  OAM_ADDR:0x0  P_SCROLL:0x0  P_ADDR:0x0
124  82da  2c 02 20   BIT $2002   A:00 X:00 Y:00 P:26 SP:00 P_CTRL:0x0  P_MASK:0x0  P_STATUS:0x0  OAM_ADDR:0x0  P_SCROLL:0x0  P_ADDR:0x0
